timestamp, latitude, longitude 
1545370518,51.4361,89.5107
1545370528,51.3737,90.5065
1545370538,51.3022,91.4994
1545370548,51.2216,92.4887
1545370558,51.1320,93.4742
1545370568,51.0333,94.4557
1545370578,50.9258,95.4324
1545370588,50.8095,96.4045
1545370598,50.6843,97.3713
1545370608,50.5506,98.3325
1545370618,50.4082,99.2878
1545370628,50.2574,100.2370
1545370638,50.0981,101.1798
1545370648,49.9306,102.1158
1545370658,49.7549,103.0452
1545370668,49.5712,103.9671
1545370678,49.3795,104.8817
1545370688,49.1799,105.7887
1545370699,48.9727,106.6880
1545370708,48.7687,107.5349
1545370718,48.5468,108.4185
1545370728,48.3174,109.2939
1545370738,48.0809,110.1610
1545370748,47.8372,111.0195
1545370758,47.5865,111.8696
1545370768,47.3290,112.7110
1545370778,47.0647,113.5439
1545370788,46.7939,114.3679
1545370798,46.5165,115.1832
1545370808,46.2328,115.9897
1545370818,45.9429,116.7873
1545370828,45.6470,117.5760
1545370838,45.3450,118.3560
1545370848,45.0372,119.1273
1545370858,44.7237,119.8896
1545370868,44.4046,120.6432
1545370878,44.0800,121.3882
1545370888,43.7500,122.1245
1545370898,43.4149,122.8522
1545370908,43.0746,123.5713
1545370919,42.7293,124.2820
1545370929,42.3792,124.9842
1545370939,42.0243,125.6782
1545370949,41.6648,126.3638
1545370959,41.3006,127.0414
1545370968,40.9506,127.6778
1545370978,40.5779,128.3397
1545370988,40.2009,128.9941
1545370998,39.8199,129.6404
1545371008,39.4349,130.2791
1545371018,39.0459,130.9103
1545371028,38.6532,131.5341
1545371038,38.2566,132.1506
1545371048,37.8564,132.7599
1545371058,37.4527,133.3621
1545371068,37.0455,133.9574
1545371078,36.6349,134.5459
1545371088,36.2210,135.1276
1545371098,35.8040,135.7027
1545371108,35.3838,136.2714
1545371118,34.9605,136.8337
1545371129,34.5344,137.3897
1545371139,34.1053,137.9397
1545371149,33.6734,138.4836
1545371159,33.2387,139.0216
1545371169,32.8014,139.5539
1545371179,32.3615,140.0806
1545371189,31.9190,140.6018
1545371199,31.4741,141.1174
1545371209,31.0268,141.6279
1545371218,30.5997,142.1079
1545371228,30.1480,142.6083
1545371238,29.6939,143.1038
1545371248,29.2378,143.5944
1545371258,28.7795,144.0802
1545371268,28.3193,144.5614
1545371278,27.8570,145.0381
1545371288,27.3928,145.5104
1545371298,26.9267,145.9784
1545371308,26.4588,146.4422
1545371318,25.9891,146.9018
1545371328,25.5178,147.3574
1545371339,25.0448,147.8091
1545371349,24.5702,148.2570
1545371359,24.0939,148.7012
1545371369,23.6162,149.1417
1545371379,23.1371,149.5788
1545371389,22.6564,150.0124
1545371399,22.1745,150.4426
1545371409,21.6910,150.8697
1545371419,21.2063,151.2937
1545371429,20.7204,151.7145
